jurisdiction,year,prisoner_count,state_population
NEW JERSEY,2012,23050,8867749
NEW MEXICO,2012,6640,2083540
NEW YORK,2012,54058,19576125
NORTH CAROLINA,2012,37378,9748364
NORTH DAKOTA,2012,1413,701345
OHIO,2012,50872,11553031
OKLAHOMA,2012,24370,3815780
OREGON,2012,14123,3899801
PENNSYLVANIA,2012,50228,12764475
RHODE ISLAND,2012,3042,1050304
SOUTH CAROLINA,2012,21867,4723417
SOUTH DAKOTA,2012,3596,834047
TENNESSEE,2012,19817,6454914
TEXAS,2012,155195,26060796
UTAH,2012,5309,2854871
VERMONT,2012,2034,625953
VIRGINIA,2012,29708,8186628
WASHINGTON,2012,16919,6895318
WEST VIRGINIA,2012,5335,1856680
WISCONSIN,2012,22419,5724554
WYOMING,2012,2187,576626
ALABAMA,2013,26825,4833996
ALASKA,2013,5081,737259
ARIZONA,2013,41031,6634997
ARKANSAS,2013,14295,2958765
CALIFORNIA,2013,134339,38431393
COLORADO,2013,20184,5272086
CONNECTICUT,2013,17319,3599341
DELAWARE,2013,6798,925240
FLORIDA,2013,100940,19600311
GEORGIA,2013,53701,9994759
HAWAII,2013,5173,1408987
IDAHO,2013,7219,1612843
ILLINOIS,2013,48653,12890552
INDIANA,2013,28495,6570713
IOWA,2013,8707,3092341
KANSAS,2013,9610,2895801
KENTUCKY,2013,12141,4399583
LOUISIANA,2013,18794,4629284
MAINE,2013,2073,1328702
MARYLAND,2013,21705,5938737
MASSACHUSETTS,2013,10622,6708874
MICHIGAN,2013,43704,9898193
MINNESOTA,2013,9391,5422060
MISSISSIPPI,2013,15591,2992206
MISSOURI,2013,31499,6044917
MONTANA,2013,3125,1014864
NEBRASKA,2013,5012,1868969
NEVADA,2013,12789,2791494
NEW HAMPSHIRE,2013,2623,1322616
NEW JERSEY,2013,22263,8911502
NEW MEXICO,2013,6767,2086895
NEW YORK,2013,53312,19695680
NORTH CAROLINA,2013,37176,9848917
NORTH DAKOTA,2013,1576,723857
OHIO,2013,51711,11572005
OKLAHOMA,2013,25364,3853118
OREGON,2013,14605,3928068
PENNSYLVANIA,2013,49971,12781296
RHODE ISLAND,2013,3168,1053354
SOUTH CAROLINA,2013,21534,4771929
SOUTH DAKOTA,2013,3612,845510
TENNESSEE,2013,20758,6497269
TEXAS,2013,155377,26505637
UTAH,2013,5382,2902787
VERMONT,2013,2078,626855
VIRGINIA,2013,29985,8270345
WASHINGTON,2013,17760,6973742
WEST VIRGINIA,2013,5708,1853595
WISCONSIN,2013,22443,5742953
WYOMING,2013,2288,583223
ALABAMA,2014,26145,4849377
ALASKA,2014,6323,736732
ARIZONA,2014,42136,6731484
ARKANSAS,2014,15250,2966369
CALIFORNIA,2014,134430,38802500
COLORADO,2014,20469,5355866
CONNECTICUT,2014,16814,3596677
DELAWARE,2014,6730,935614
FLORIDA,2014,100873,19893297
GEORGIA,2014,52719,10097343
HAWAII,2014,5390,1419561
IDAHO,2014,7497,1634464
ILLINOIS,2014,48278,12880580
INDIANA,2014,32493,6596855
IOWA,2014,8845,3107126
KANSAS,2014,9539,2904021
KENTUCKY,2014,12114,4413457
LOUISIANA,2014,18710,4649676
MAINE,2014,2199,1330089
MARYLAND,2014,21266,5976407
MASSACHUSETTS,2014,10447,6745408
MICHIGAN,2014,43359,9909877
MINNESOTA,2014,9576,5457173
MISSISSIPPI,2014,13069,2994079
MISSOURI,2014,31903,6063589
MONTANA,2014,3119,1023579
NEBRASKA,2014,5228,1881503
NEVADA,2014,12693,2839099
NEW HAMPSHIRE,2014,2723,1326813
NEW JERSEY,2014,21394,8938175
NEW MEXICO,2014,6948,2085572
NEW YORK,2014,52362,19746227
NORTH CAROLINA,2014,37348,9943964
NORTH DAKOTA,2014,1696,739482
OHIO,2014,51521,11594163
OKLAHOMA,2014,26493,3878051
OREGON,2014,14492,3970239
PENNSYLVANIA,2014,49174,12787209
RHODE ISLAND,2014,3133,1055173
SOUTH CAROLINA,2014,20948,4832482
SOUTH DAKOTA,2014,3507,853175
TENNESSEE,2014,20815,6549352
TEXAS,2014,154247,26956958
UTAH,2014,5307,2942902
VERMONT,2014,1979,626562
VIRGINIA,2014,30050,8326289
WASHINGTON,2014,17180,7061530
WEST VIRGINIA,2014,5867,1850326
WISCONSIN,2014,22572,5757564
WYOMING,2014,2369,584153
ALABAMA,2015,25212,4858979
ALASKA,2015,5247,738432
ARIZONA,2015,42204,6828065
ARKANSAS,2015,15784,2978204
CALIFORNIA,2015,127815,39144818
COLORADO,2015,19959,5456574
CONNECTICUT,2015,16024,3590886
DELAWARE,2015,6437,945934
FLORIDA,2015,99485,20271272
GEORGIA,2015,52002,10214860
HAWAII,2015,5413,1431603
IDAHO,2015,7238,1654930
ILLINOIS,2015,46240,12859995
INDIANA,2015,26586,6619680
IOWA,2015,8864,3123899
KANSAS,2015,9533,2911641
KENTUCKY,2015,11959,4425092
LOUISIANA,2015,18447,4670724
MAINE,2015,2190,1329328
MARYLAND,2015,20951,6006401
MASSACHUSETTS,2015,9493,6794422
MICHIGAN,2015,42628,9922576
MINNESOTA,2015,9578,5489594
MISSISSIPPI,2015,13967,2992333
MISSOURI,2015,32295,6083672
MONTANA,2015,3176,1032949
NEBRASKA,2015,5133,1896190
NEVADA,2015,13235,2890845
NEW HAMPSHIRE,2015,2661,1330608
NEW JERSEY,2015,20294,8958013
NEW MEXICO,2015,7104,2085109
NORTH CAROLINA,2015,36888,10042802
NORTH DAKOTA,2015,1772,756927
OHIO,2015,52240,11613423
OKLAHOMA,2015,27321,3911338
OREGON,2015,14655,4028977
PENNSYLVANIA,2015,48846,12802503
RHODE ISLAND,2015,2982,1056298
SOUTH CAROLINA,2015,20457,4896146
SOUTH DAKOTA,2015,3536,858469
TENNESSEE,2015,19800,6600299
TEXAS,2015,152492,27469114
UTAH,2015,4831,2995919
VERMONT,2015,1750,626042
VIRGINIA,2015,30430,8382993
WASHINGTON,2015,17222,7170351
WEST VIRGINIA,2015,5925,1844128
WISCONSIN,2015,22914,5771337
WYOMING,2015,2400,586107
ALABAMA,2016,23745,4860545
ALASKA,2016,4378,741522
ARIZONA,2016,42248,6908642
ARKANSAS,2016,15833,2988231
CALIFORNIA,2016,129416,39296476
COLORADO,2016,19486,5530105
CONNECTICUT,2016,15040,3587685
DELAWARE,2016,6334,952698
FLORIDA,2016,98010,20656589
GEORGIA,2016,53433,10313620
HAWAII,2016,5182,1428683
IDAHO,2016,7221,1680026
ILLINOIS,2016,43616,12835726
INDIANA,2016,25143,6634007
IOWA,2016,9049,3130869
KANSAS,2016,9653,2907731
KENTUCKY,2016,11867,4436113
LOUISIANA,2016,15059,4686157
MAINE,2016,2356,1330232
MARYLAND,2016,20236,6024752
MASSACHUSETTS,2016,9038,6823721
MICHIGAN,2016,41122,9933445
MINNESOTA,2016,9509,5525050
MISSISSIPPI,2016,13720,2985415
MISSOURI,2016,32427,6091176
MONTANA,2016,3199,1038656
NEBRASKA,2016,5167,1907603
NEVADA,2016,13932,2939254
NEW HAMPSHIRE,2016,2599,1335015
NEW JERSEY,2016,19458,8978416
NEW MEXICO,2016,6996,2085432
NEW YORK,2016,50611,19836286
NORTH CAROLINA,2016,35970,10156689
NORTH DAKOTA,2016,1639,755548
OHIO,2016,52172,11622554
OKLAHOMA,2016,26367,3921207
