jurisdiction,year,violent_crime_total,murder_manslaughter,rape_legacy,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft,violent_crime_sum,murder_manslaughter_sum,rape_legacy_sum,robbery_sum,agg_assault_sum,property_crime_sum,burglary_sum,larceny_sum,vehicle_theft_sum,year
TENNESSEE,2005,45104,431,2194,10009,32470,256093,61508,169357,25228,,,,,,,,,,
TEXAS,2005,121091,1407,8511,35790,75383,990293,219828,677042,93423,,,,,,,,,,
UTAH,2005,5612,56,920,1095,3541,95546,14971,72082,8493,,,,,,,,,,
VERMONT,2005,782,8,153,76,545,14749,3185,10894,670,,,,,,,,,,
VIRGINIA,2005,21434,458,1763,7495,11718,200404,29829,154584,15991,,,,,,,,,,
WASHINGTON,2005,21745,205,2811,5788,12941,307661,60343,198031,49287,,,,,,,,,,
WEST VIRGINIA,2005,4968,82,335,816,3735,47757,11334,32603,3820,,,,,,,,,,
WISCONSIN,2005,13367,206,1135,4555,7471,147556,24448,110531,12577,,,,,,,,,,
WYOMING,2005,1172,14,122,78,958,16070,2426,12905,739,,,,,,,,,,
ALABAMA,2006,19553,382,1646,7062,10463,181249,44780,121451,15018,,,,,,,,,,
ALASKA,2006,4610,36,512,600,3462,23975,4155,17284,2536,,,,,,,,,,
ARIZONA,2006,33456,533,2449,9491,20983,294389,59418,178321,56650,,,,,,,,,,
ARKANSAS,2006,15538,205,1325,2749,11259,112025,31864,72646,7515,,,,,,,,,,
CALIFORNIA,2006,194483,2486,9235,71142,111620,1159988,247230,669103,243655,,,,,,,,,,
COLORADO,2006,18794,171,2158,3824,12641,163439,32411,110372,20656,,,,,,,,,,
CONNECTICUT,2006,10505,137,696,4460,5212,90638,15583,64765,10290,,,,,,,,,,
DELAWARE,2006,5983,42,417,1791,3733,29670,6337,20449,2884,,,,,,,,,,
FLORIDA,2006,129602,1129,6475,34147,87851,721101,170873,473774,76454,,,,,,,,,,
GEORGIA,2006,44754,605,2169,15511,26469,362712,85140,234445,43127,,,,,,,,,,
HAWAII,2006,3608,21,353,1144,2090,54247,8724,37784,7739,,,,,,,,,,
IDAHO,2006,3666,35,611,294,2726,35135,7545,25154,2436,,,,,,,,,,
